# Auto-generated default anti-repetition n-gram table.
# Format: role  n  pc0,pc1,...  bias
# For every ordered pair A,B:
#   Lead ABAB  -> -0.4
#   Lead ABABA -> -1.2

lead 4 0,0,0,0 -0.4
lead 4 0,37,0,37 -0.4
lead 4 0,127,0,127 -0.4
lead 4 0,185,0,185 -0.4
lead 4 0,275,0,275 -0.4
lead 4 0,312,0,312 -0.4
lead 4 0,423,0,423 -0.4
lead 4 0,460,0,460 -0.4
lead 4 37,0,37,0 -0.4
lead 4 37,37,37,37 -0.4
lead 4 37,127,37,127 -0.4
lead 4 37,185,37,185 -0.4
lead 4 37,275,37,275 -0.4
lead 4 37,312,37,312 -0.4
lead 4 37,423,37,423 -0.4
lead 4 37,460,37,460 -0.4
lead 4 127,0,127,0 -0.4
lead 4 127,37,127,37 -0.4
lead 4 127,127,127,127 -0.4
lead 4 127,185,127,185 -0.4
lead 4 127,275,127,275 -0.4
lead 4 127,312,127,312 -0.4
lead 4 127,423,127,423 -0.4
lead 4 127,460,127,460 -0.4
lead 4 185,0,185,0 -0.4
lead 4 185,37,185,37 -0.4
lead 4 185,127,185,127 -0.4
lead 4 185,185,185,185 -0.4
lead 4 185,275,185,275 -0.4
lead 4 185,312,185,312 -0.4
lead 4 185,423,185,423 -0.4
lead 4 185,460,185,460 -0.4
lead 4 275,0,275,0 -0.4
lead 4 275,37,275,37 -0.4
lead 4 275,127,275,127 -0.4
lead 4 275,185,275,185 -0.4
lead 4 275,275,275,275 -0.4
lead 4 275,312,275,312 -0.4
lead 4 275,423,275,423 -0.4
lead 4 275,460,275,460 -0.4
lead 4 312,0,312,0 -0.4
lead 4 312,37,312,37 -0.4
lead 4 312,127,312,127 -0.4
lead 4 312,185,312,185 -0.4
lead 4 312,275,312,275 -0.4
lead 4 312,312,312,312 -0.4
lead 4 312,423,312,423 -0.4
lead 4 312,460,312,460 -0.4
lead 4 423,0,423,0 -0.4
lead 4 423,37,423,37 -0.4
lead 4 423,127,423,127 -0.4
lead 4 423,185,423,185 -0.4
lead 4 423,275,423,275 -0.4
lead 4 423,312,423,312 -0.4
lead 4 423,423,423,423 -0.4
lead 4 423,460,423,460 -0.4
lead 4 460,0,460,0 -0.4
lead 4 460,37,460,37 -0.4
lead 4 460,127,460,127 -0.4
lead 4 460,185,460,185 -0.4
lead 4 460,275,460,275 -0.4
lead 4 460,312,460,312 -0.4
lead 4 460,423,460,423 -0.4
lead 4 460,460,460,460 -0.4
lead 5 0,0,0,0,0 -1.2
lead 5 0,37,0,37,0 -1.2
lead 5 0,127,0,127,0 -1.2
lead 5 0,185,0,185,0 -1.2
lead 5 0,275,0,275,0 -1.2
lead 5 0,312,0,312,0 -1.2
lead 5 0,423,0,423,0 -1.2
lead 5 0,460,0,460,0 -1.2
lead 5 37,0,37,0,37 -1.2
lead 5 37,37,37,37,37 -1.2
lead 5 37,127,37,127,37 -1.2
lead 5 37,185,37,185,37 -1.2
lead 5 37,275,37,275,37 -1.2
lead 5 37,312,37,312,37 -1.2
lead 5 37,423,37,423,37 -1.2
lead 5 37,460,37,460,37 -1.2
lead 5 127,0,127,0,127 -1.2
lead 5 127,37,127,37,127 -1.2
lead 5 127,127,127,127,127 -1.2
lead 5 127,185,127,185,127 -1.2
lead 5 127,275,127,275,127 -1.2
lead 5 127,312,127,312,127 -1.2
lead 5 127,423,127,423,127 -1.2
lead 5 127,460,127,460,127 -1.2
lead 5 185,0,185,0,185 -1.2
lead 5 185,37,185,37,185 -1.2
lead 5 185,127,185,127,185 -1.2
lead 5 185,185,185,185,185 -1.2
lead 5 185,275,185,275,185 -1.2
lead 5 185,312,185,312,185 -1.2
lead 5 185,423,185,423,185 -1.2
lead 5 185,460,185,460,185 -1.2
lead 5 275,0,275,0,275 -1.2
lead 5 275,37,275,37,275 -1.2
lead 5 275,127,275,127,275 -1.2
lead 5 275,185,275,185,275 -1.2
lead 5 275,275,275,275,275 -1.2
lead 5 275,312,275,312,275 -1.2
lead 5 275,423,275,423,275 -1.2
lead 5 275,460,275,460,275 -1.2
lead 5 312,0,312,0,312 -1.2
lead 5 312,37,312,37,312 -1.2
lead 5 312,127,312,127,312 -1.2
lead 5 312,185,312,185,312 -1.2
lead 5 312,275,312,275,312 -1.2
lead 5 312,312,312,312,312 -1.2
lead 5 312,423,312,423,312 -1.2
lead 5 312,460,312,460,312 -1.2
lead 5 423,0,423,0,423 -1.2
lead 5 423,37,423,37,423 -1.2
lead 5 423,127,423,127,423 -1.2
lead 5 423,185,423,185,423 -1.2
lead 5 423,275,423,275,423 -1.2
lead 5 423,312,423,312,423 -1.2
lead 5 423,423,423,423,423 -1.2
lead 5 423,460,423,460,423 -1.2
lead 5 460,0,460,0,460 -1.2
lead 5 460,37,460,37,460 -1.2
lead 5 460,127,460,127,460 -1.2
lead 5 460,185,460,185,460 -1.2
lead 5 460,275,460,275,460 -1.2
lead 5 460,312,460,312,460 -1.2
lead 5 460,423,460,423,460 -1.2
lead 5 460,460,460,460,460 -1.2
